BIC - Goal,BIC,F1 Score,Accuracy,Precision,Recall,SHD,SLF,TLF
42.584847152767,6718.669600596846,0.5531914893617023,0.9447368421052632,0.5909090909090909,0.52,21,0.52,0.72
34.91887600907921,6711.003629453158,0.5652173913043478,0.9473684210526315,0.6190476190476191,0.52,20,0.52,0.72
22.30565516882143,6698.3904086129005,0.5957446808510639,0.95,0.6363636363636364,0.56,19,0.56,0.72
22.30565516882143,6698.3904086129005,0.5957446808510639,0.95,0.6363636363636364,0.56,19,0.56,0.72
22.30565516882143,6698.3904086129005,0.5957446808510639,0.95,0.6363636363636364,0.56,19,0.56,0.72
22.299593981076214,6698.384347425155,0.6086956521739131,0.9526315789473684,0.6666666666666666,0.56,18,0.56,0.72
22.299593981076214,6698.384347425155,0.6086956521739131,0.9526315789473684,0.6666666666666666,0.56,18,0.56,0.72
22.299593981076214,6698.384347425155,0.6086956521739131,0.9526315789473684,0.6666666666666666,0.56,18,0.56,0.72
14.894739376689358,6690.979492820768,0.5106382978723404,0.9394736842105263,0.5454545454545454,0.48,23,0.48,0.72
13.050089808809389,6689.1348432528885,0.5652173913043478,0.9473684210526315,0.6190476190476191,0.52,20,0.52,0.72
13.050089808809389,6689.1348432528885,0.5652173913043478,0.9473684210526315,0.6190476190476191,0.52,20,0.52,0.72
13.050089808809389,6689.1348432528885,0.5652173913043478,0.9473684210526315,0.6190476190476191,0.52,20,0.52,0.72
13.050089808809389,6689.1348432528885,0.5652173913043478,0.9473684210526315,0.6190476190476191,0.52,20,0.52,0.72
13.050089808809389,6689.1348432528885,0.5652173913043478,0.9473684210526315,0.6190476190476191,0.52,20,0.52,0.72
13.050089808809389,6689.1348432528885,0.5652173913043478,0.9473684210526315,0.6190476190476191,0.52,20,0.52,0.72
13.050089808809389,6689.1348432528885,0.5652173913043478,0.9473684210526315,0.6190476190476191,0.52,20,0.52,0.72
13.050089808809389,6689.1348432528885,0.5652173913043478,0.9473684210526315,0.6190476190476191,0.52,20,0.52,0.72
13.050089808809389,6689.1348432528885,0.5652173913043478,0.9473684210526315,0.6190476190476191,0.52,20,0.52,0.72
13.050089808809389,6689.1348432528885,0.5652173913043478,0.9473684210526315,0.6190476190476191,0.52,20,0.52,0.72
13.050089808809389,6689.1348432528885,0.5652173913043478,0.9473684210526315,0.6190476190476191,0.52,20,0.52,0.72
13.050089808809389,6689.1348432528885,0.5652173913043478,0.9473684210526315,0.6190476190476191,0.52,20,0.52,0.72
13.050089808809389,6689.1348432528885,0.5652173913043478,0.9473684210526315,0.6190476190476191,0.52,20,0.52,0.72
